codi_eoi,nom_estacio,data,magnitud,contaminant,unitats,tipus_estacio,area_urbana,codi_ine,municipi,codi_comarca,nom_comarca,h01,h02,h03,h04,altitud,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
08019054,Barcelona (Parc Vall Hebron),2022-11-10T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,16,11,11,11,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,,,,,,,,,,,,,,,,,,,,
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-10T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,19,14,9,9,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,,,,,,,,,,,,,,,,,,,,
08101001,L'Hospitalet de Llobregat,2022-11-10T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,14,16,9,7,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,,,,,,,,,,,,,,,,,,,,
08019043,Barcelona (Eixample),2022-11-10T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,22,11,10,12,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,,,,,,,,,,,,,,,,,,,,
08019058,Barcelona (Observatori Fabra),2022-11-10T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,14,11,12,9,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,,,,,,,,,,,,,,,,,,,,
08019057,Barcelona (Palau Reial),2022-11-10T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,12,9,8,8,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,,,,,,,,,,,,,,,,,,,,
08019004,Barcelona (Poblenou),2022-11-10T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,17,11,10,10,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,,,,,,,,,,,,,,,,,,,,
08019057,Barcelona (Palau Reial),2022-11-10T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,9,7,6,7,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,,,,,,,,,,,,,,,,,,,,
08194008,Sant Adrià de Besòs,2022-11-10T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,13,8,6,7,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,,,,,,,,,,,,,,,,,,,,
08019057,Barcelona (Palau Reial),2022-11-09T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,11,10,10,11,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,11,15,19,20,29,27,19,28,62,29,13,11,11,15,16,16,18,14,19,11
08019057,Barcelona (Palau Reial),2022-11-09T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,8,8,8,8,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,9,12,15,14,17,13,8,9,17,9,4,3,3,4,5,5,6,5,6,8
08019058,Barcelona (Observatori Fabra),2022-11-09T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,16,16,17,17,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,18,17,22,25,22,25,24,21,17,15,16,15,13,16,23,25,24,21,21,18
08019004,Barcelona (Poblenou),2022-11-09T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,22,19,22,20,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,21,22,21,40,46,71,76,68,50,76,51,39,62,124,84,58,49,32,37,34
08019043,Barcelona (Eixample),2022-11-09T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,38,34,33,34,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,37,34,39,71,57,119,78,55,74,52,33,24,49,124,71,50,46,35,51,34
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-09T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,23,24,23,22,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,24,24,21,26,48,56,30,28,60,45,23,18,20,33,40,31,24,25,26,28
08101001,L'Hospitalet de Llobregat,2022-11-09T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,25,23,21,25,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,24,24,27,33,53,50,42,72,57,43,32,19,23,44,35,43,40,28,26,24
08194008,Sant Adrià de Besòs,2022-11-09T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,25,26,25,26,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,24,18,14,17,39,56,43,23,40,23,25,14,15,23,30,25,34,32,53,37
08019054,Barcelona (Parc Vall Hebron),2022-11-09T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,19,17,21,14,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,16,20,19,18,28,38,39,29,22,17,16,17,15,16,28,31,31,25,20,22
